0, 1
1, 3
2, 5
3, 6
4, 8
5, 9
6, 10
7, 10
8, 13
9, 13
10, 15
11, 15
12, 17
13, 18
14, 20
15, 20
16, 23
17, 22
18, 24
19, 25
20, 28
21, 27
22, 32
23, 30
24, 32
25, 32
26, 35
27, 34
28, 37
29, 37
30, 39
31, 39
32, 42
33, 41
34, 44
35, 44
36, 46
37, 46
38, 49
39, 49
40, 51
41, 51
42, 55
43, 52
44, 51
45, 53
46, 58
47, 61
48, 62
49, 61
50, 63
51, 63
52, 65
53, 65
54, 68
55, 69
56, 70
57, 70
58, 72
59, 72
60, 75
61, 75
62, 77
63, 77
64, 80
65, 80
66, 82
67, 82
68, 84
69, 85
70, 87
71, 88
72, 89
73, 89
74, 92
75, 92
76, 94
77, 94
78, 96
79, 100
80, 98
81, 99
82, 101
83, 101
84, 105
85, 105
86, 107
87, 107
88, 108
89, 109
90, 111
91, 112
92, 116
93, 115
94, 114
95, 115
96, 119
97, 118
98, 120
99, 123
100, 125
